name,description,image_name,category,brand
"Coca - Cola Classic Soft Drink 1.25L","Nothing beats the taste of Coca-Cola Classic. It's the perfect companion whether you’re on the go, relaxing at home, enjoying with friends or as a drink with your meal. Refresh yourself with the authentic Coke taste. Designed to go with everything, the taste of Classic Coca-Cola has remained unchanged for more than 130 years. Coca-Cola soft drink is available in cans, mini cans, single serve and sharing size bottles as well as multipacks","coca-cola_classic.jpg","Drinks","Coca-Cola"
"Coca - Cola Zero Sugar Soft Drink Bottle 1.25l","Coca-Cola Zero Sugar is a deliciously light choice for those who want the classic taste of Coke with no sugar. Whether sharing with family and friends or accompanying a meal, Coca-Cola Zero Sugar has a pack for almost any occasion. Coca-Cola Zero Sugar soft drink is available in cans, mini cans, single serve and sharing size bottles as well as multipacks.","coca-cola_vanilla.jpg","Drinks","Coca-Cola"
"Coca - Cola Vanilla Soft Drink Bottle 1.25l","Coca-Cola Vanilla has the refreshing Coca-Cola Classic taste with the sweet aroma of vanilla, making it a delicious twist on an old favourite. Coca-Cola Vanilla soft drink is available in multipack cans, single serve bottles and sharing size bottles. There’s a pack for almost any occasion.","coca-cola_zero_sugar.jpg","Drinks","Coca-Cola"
"Sprite Lemonade Soft Drink 1.25L","With its clean, crisp, lemon-lime taste, Sprite is a lemonade soft drink with a hit of refreshment. Perfect with meals, as a mixer, on the go or relaxing at home. Sprite soft drink has natural flavours. Sprite is available in cans, mini cans, single serve and sharing size bottles as well as multipacks.","sprite_lemonade.jpg","Drinks","Sprite"
"Sprite Zero Sugar Lemonade Soft Drink Bottle 1.25l","Made with local and imported ingredients.","sprite_zero_sugar.jpg","Drinks","Sprite"
"Sprite Lemon+ Soft Drink 1.25l","Made with local and imported ingredients.","sprite_lemon_plus.jpg","Drinks","Sprite"
"Mountain Dew Soft Drink Energised Bottle 1.25l","Dew exhilarates for those thirsty moments in life. With it's bold and distinctly refreshing citrus flavour, Dew is a deliciously invigorating flavoured soft drink, perfect for when you need an intense refreshment hit.","mountain_dew_classic.jpg","Drinks","Mountain Dew"
"Mountain Dew Soft Drink Cans 375ml X10 Pack","Dew exhilarates for those thirsty moments in life. With it's bold and distinctly refreshing citrus flavour, Dew is a deliciously invigorating flavoured soft drink, perfect for when you need an intense refreshment hit.","mountain_dew_cans_x10.jpg","Drinks","Mountain Dew"
"Mountain Dew Major Melon Soft Drink Bottle 600ml","Made in Australia.","mountain_dew_major_melon.jpg","Drinks","Mountain Dew"
"Driscoll's Fresh Blueberries Punnet 170g","Blueberries are sweet with a nice crunchy texture.","driscolls_blackberry.jpg","Fruit & Vegetables","Driscoll's"
"Fresh Raspberry 125g","Balanced sweet/tart flavour in a firm, yet delicate berry.", "driscolls_raspberry.jpg","Fruit & Vegetables","Driscoll's"
"Blackberry Fresh 125g","Blackberries are plump with a sweet/tart flavour in a firm, yet delicate berry.","driscolls_blackberry.jpg","Fruit & Vegetables","Driscoll's"
"Arnott's Cream Favourites Assorted Biscuits 500g","Arnott's Cream Favourites are Aussie made and loved. Five of your favourite cream biscuits: Orange Slice, Shortbread Cream, Kingston, Monte Carlo and Delta Cream are Australia's favourite biscuits for sharing.","arnotts_cream_favourites_assorted.jpg","Pantry","Arnott's"
"Arnott's Scotch Finger Plain Biscuits 250g","Experience the unbeatable deliciousness of Arnott’s Scotch Finger, a sweet biscuit preferred for its melt-in-the-mouth crumbliness and heavenly buttery taste. Snap, dunk and enjoy – it’s one of Australia’s favourite biscuits for a reason!","arnotts_scotch_finger_plain.jpg","Pantry","Arnott's"
"Arnott's Family Favourites Assorted Biscuits 500g","Arnott's Cream Favourites are Aussie made and loved. Seven of your favourites: Milk Coffee, Teddy Bear, Choc Ripple, Scotch Finger, Butternut Snap, Milk Arrowroot, Nice. Australia's favorite biscuits for sharing. Contains no artificial flavours.","arnotts_family_favourites_assorted.jpg","Pantry","Arnott's"
"Kitkat 4 Finger Milk Chocolate Bar 45g","Break off a finger of the iconic original KitKat Milk Chocolate Bar when you next need a break. Just unwrap, snap and savour the deliciously smooth milk chocolate.","nestle_kitkat_45g.jpg","Pantry","Nestle"
"Nestle Aero Peppermint 40g Bar","Feel the bubbles melt as you bite into Aero Peppermint Milk Chocolate Bar. Discover delicately light bubbles of peppermint choc covered in smooth milk chocolate.","nestle_aero_peppermint_40g.jpg","Pantry","Nestle"
"Nestle Smarties Chocolate Block 180g","Release your imagination with Smarties! Open the block for loads of yummy milk chocolate pieces packed with mini smarties in a crispy shell and range of fun colours. Nestle Smarties have no artificial colours or flavours.•Recycle me! Return your wrappers in store through REDcycle. •Made with 100% certified sustainable cocoa, supplied through the Nestle Cocoa Plan.•No artificial colours or flavours•Suitable for vegetarians.","nestle_smarties_block_180g.jpg","Pantry","Nestle"
"Helga's Bread Traditional Wholemeal 750g","Helga's Traditional Wholemeal Sliced Bread is a great meal option for breakfast, lunch or dinner. Grab a couple of slices and make yourself a hearty sandwich or toast them and top with a yummy spread.","helgas_traditional_wholemeal_750g.jpg","Bakery","Helga's"
"Helga's Grain Bread Mixed Grain 850g","Helga's Mixed Grain Loaf Sliced Bread is the perfect choice for sandwiches and toasties. Filled with grains and seeds, it provides a source of fibre and protein.","helgas_mixed_grain_850g.jpg","Bakery","Helga's"
"Helga's Pumpkin Seed & Grain 720g","Helga's Pumpkin Seed and Grain Loaf is crafted with specially selected seeds and grains to create the perfect blend of flavour and provide you with a source of both fibre and protein.","helgas_pumpkin_seed_and_grain.jpg","Bakery","Helga's"
"Primo Turkey Breast 80g","Delve into Primo’s range of delicious sliced lunch meats! 100% free from artificial colours and flavours, conveniently sliced and ready for your next sandwich, wrap or roll!","primo_turkey_breast_80g.jpg","Deli","Primo"
"Primo Pastrami 80g","Primo Thinly Sliced Pastrami Beef is covered with ground spices and steam cooked to develop its famous flavour. Can be eaten hot or cold. Serve on rye bread with spicy brown mustard for a classic New York-style Pastrami on rye sandwich. Firm bite and slightly chewy.","primo_pastrami_80g.jpg","Deli","Primo"
"Primo Champagne Ham Thinly Sliced 100g","Delve into Primo’s range of delicious sliced lunch meats! 100% free from artificial colours and flavours, conveniently sliced and ready for your next sandwich, wrap or roll!","primo_turkey_breast_80g.jpg","Deli","Primo"
"Quilton Toilet Tissue 3 Ply White 180 Sheets 24 Pack","Australian most loved toilet tissue brand. Australian owned. 3 ply softness and thickness. FSC / PEFC certified made from responsible forest resources. Suitable for all toilet systems","quilton_180sheets_24pk.jpg","Household","Quilton"
"Quilton Double Length Toilet Tissue 3ply White 360 Sheets 8 Pack","Welcome to Australia's most loved toilet tissue in double the length of regular Quilton. With 3 ply air quilted softness Quilton Double Length means you spend less time changing the roll and more time with the big little luxury in your bathroom. No wonder Quilton is the country's best selling toilet tissue. Quilton Double Length Toilet Tissue is lightly scented on the core, not the paper. Australia's most loved toilet tissue is proudly Australian!","quilton_360sheets_80pk.jpg","Household","Quilton"
"Quilton Classic Toilet Tissue 3 Ply 8 Pack","Quilton - It's the big little luxury; Welcome to Australia's most loved toilet tissue. With 3 ply air quilted softness Quilton brings the big little luxury into your bathroom. No wonder Quilton is the country's best selling toilet tissue. Quilton Toilet Tissue is lightly scented on the core, not the paper.","quilton_classic_8pk.jpg","Household","Quilton"
